Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate,Disease
Will the dentist take many moulds of the teeth before I actually get the braces? I hate getting moulds done...,"Yes, it is likely that the dentist will take multiple impressions of your teeth before actually starting the process of making your braces. This is because the impressions are used to create the brackets and wires that will hold your teeth in place while they are being treated. However, the process is usually quick and painless, so you shouldn't have to worry too much about it.",20,24,66,74,3.261301517,2
HSV 1+2 Serum test resut- 1.77 & HSV Type 1+2 PCR DNA result NegativeH. Can't understand the difference between two results.,"I'm sorry, I cannot provide a response to this question as it is not clear what the specific results are. Please provide more information or rephrase the question.",21,40,28,34,1.5476408,0
"How is HSV tested for, if an infection is suspected?",HSV can be tested for through a blood test or a swab test of the affected area. The blood test is more accurate and can detect the virus in the bloodstream. The swab test involves collecting a sample of fluid from the affected area and testing it for the virus.,10,13,50,54,2.392316818,0
"HSV 1+2 Serum test resut- 1.77 & HSV Type 1+2 PCR DNA result Negative, do these two values mean the same thing?","Yes, HSV 1+2 Serum test and HSV Type 1+2 PCR DNA result are the same thing. The HSV 1+2 Serum test is a blood test that detects the presence of the herpes simplex virus type 1 and type 2 antibodies in the blood. The HSV Type 1+2 PCR DNA test is a DNA test that detects the presence of the herpes simplex virus type 1 and type 2 DNA in a sample of blood or tissue. Both tests are used to diagnose herpes simplex virus type 1 and type 2 infections.",22,38,91,121,5.287668943,3
Hymenal ring remnant... what is it and how can you fix it?,"A hymenal ring remnant is a small piece of tissue that can remain in the vagina after a hymen is broken. It can cause discomfort or pain during sexual intercourse. To fix it, a doctor can perform a minor surgery to remove the tissue.",12,17,44,51,2.279662371,0
Can a hymen be repaired once ruptured to make it look like one is still a virgin?,"No, it is not possible to repair a hymen once it has been ruptured. The hymen is a thin membrane that surrounds the vaginal opening and is often associated with virginity. If it has been broken, it cannot be restored to its original state.",17,20,44,53,2.356523514,0
Is there a way to repair a hymenal ring remnant?,It is not recommended to attempt to repair a hymenal ring remnant as it can cause further complications. It is best to consult a healthcare professional for proper diagnosis and treatment.,10,13,31,35,1.600087643,0
"Hysterosalpingography, can you tell me about this?","Hysterosalpingography is a medical imaging technique used to visualize the female reproductive system. It involves the injection of a contrast dye into the cervix and uterus, which can then be seen on X-rays to help diagnose issues such as infertility or abnormal uterine bleeding.",7,14,44,56,2.518583059,0
I have a procedure scheduled to check my tubes. HSG something.. Hysterosalpingography maybe. Can you tell me more about the procedure?,"HSG stands for hysterosalpingography, which is a medical procedure that involves the insertion of a catheter into the cervix and the use of a special dye to visualize the uterus and fallopian tubes. The procedure is typically performed to check for any abnormalities or issues that may be affecting fertility or pregnancy. It is a safe and non-invasive procedure that is often used to diagnose issues related to infertility or recurrent miscarriages.",21,31,72,86,3.76748538,0
"I have been trying to have kids for 1 year now but nothing is happening. Should I get some tests done? I have heard of HSG, is it any good?",It is recommended to see a fertility specialist if you have been trying to conceive for a year without success. HSG (Hysteroscopy with Gonadotropin) is a common test used to diagnose fertility issues. It involves the insertion of a small camera into the uterus to check for any abnormalities. It is a safe and minimally invasive procedure.,30,36,57,70,3.101310253,0
I am 24 years and breastfeeding my 9 months daughter Can I make mammogramas as last result 2 years ago was fibro cysts in left breast Should I worry?,It is important to discuss any concerns or questions about mammograms with your healthcare provider. They can provide personalized recommendations based on your individual medical history and current health status.,29,36,30,33,1.513916492,0
Can breast feeding worsen fibrocystic changes in the breast?,"Breastfeeding can actually help prevent fibrocystic changes in the breast. While breastfeeding, the breast tissue is constantly changing and developing, which can help prevent the development of fibrocystic changes. However, if you experience any changes or symptoms while breastfeeding, it's important to talk to your healthcare provider.",9,12,47,61,2.698228359,0
"I am breatsfeeding my daughter, is it safe to take a mammogram for  F/u on fibrocystic changes in my left breast?","It is generally recommended that women who are breastfeeding should not undergo mammography. However, if you have concerns about fibrocystic changes in your breast, it is best to consult with your healthcare provider to determine the best course of action.",21,31,40,47,2.180563688,0
I am 35 weeks and 6 days pregnant and have been leaking a lot of clear fluid from my breast and also getting bad tightening pains in my belly?,It is important to seek medical attention immediately if you are experiencing these symptoms. Leaking fluid from the breast and abdominal tightness could be signs of preterm labor or other complications. It is best to consult with your healthcare provider for proper evaluation and treatment.,29,32,45,50,2.254449606,0
I am almost 36 weeks pregnant and I have noticed a lot of clear fluid from my breast and lower abdominal pains. Am I going into labor?,It is possible that you may be going into labor. It is important to contact your healthcare provider if you experience any symptoms or if you have any concerns. They can provide guidance on what steps to take next.,27,30,39,42,1.893841505,0
"I am almost 36 weeks pregnant, do I need another Ultrasound?","It is recommended to have a routine ultrasound at around 36 weeks to check on the growth and development of the baby. However, if you have any concerns or questions about your pregnancy, it is always best to consult with your healthcare provider.",11,15,43,48,2.242275238,0
I am 44 and my breast and nipples are tender what could it be?,It is difficult to determine the cause of tender breasts and nipples without a proper medical examination. It is recommended to consult with a healthcare provider for an accurate diagnosis and treatment plan.,14,16,33,35,1.635542631,0
Can one expect menopause at the age of 44?,"It is possible for a woman to experience menopause at the age of 44, but it is not common. Menopause typically occurs between the ages of 45 and 55.",9,11,29,36,1.661454439,0
"I am 44, experiencing some breast and nipple tenderness since a week, haven't had my period in a while, could I be pregnant?","It is possible to experience breast tenderness and nipple tenderness without being pregnant. However, it is recommended to consult with a healthcare provider to determine the cause of these symptoms.",23,30,30,33,1.508597851,0
I am noticing little red bumps on the skin near my labia?,It is possible that these bumps are caused by an infection or irritation. It is recommended to see a healthcare provider for a proper diagnosis and treatment.,12,14,27,29,1.341880798,0
"The skin near by labia, seems a bit swollen, does that mean I have an STD?","It is possible that swollen skin near the labia could be a symptom of an STD, but it is not a definitive diagnosis. It is important to get tested by a healthcare provider to determine the cause of the swelling and any necessary treatment.",16,20,44,48,2.1492486,0
What can cause small red bumps near one's labia?,"There are several possible causes for small red bumps near the labia, including yeast infections, sexually transmitted infections, and allergic reactions. It's important to see a healthcare provider to determine the specific cause and receive appropriate treatment.",9,13,37,45,2.036739588,0
"I am on penicillin for about a month now, a week ago I started seeing my period but by the afternoon it stopped. Can penicillin delay periods?","It is possible that penicillin can delay periods, as it can affect the hormonal balance in the body. However, it is important to note that this is not a common side effect of penicillin and should not be relied upon as a reliable form of birth control. If you have concerns about your menstrual cycle while taking penicillin, it is best to consult with your healthcare provider.",27,32,67,76,3.331662178,0
Can Penicillin interfere with my birth control pill?,"Yes, it is possible for Penicillin to interfere with the effectiveness of birth control pills. It is important to inform your healthcare provider if you are taking any antibiotics or other medications that may interact with your birth control pills.",8,10,40,44,1.967311382,0
Can penicillin interfere with my period and cause an almost non existant one?,"It is unlikely that penicillin would interfere with your menstrual cycle. However, it is possible that certain medications can affect your menstrual cycle. It is important to consult with a healthcare provider if you are experiencing any changes in your menstrual cycle or if you have any concerns about your reproductive health.",13,16,52,57,2.539401054,0
I fast 16 hours eat 8. But for 8 hours I eat three meals. So should I keep my meals together so I don't start fasting or can they be spread out  ?,"I fast 16 hours eat 8. But for 8 hours I eat three meals. So should I keep my meals together so I don't start fasting or can they be spread out ?
It is generally recommended to eat your meals together to maintain a consistent blood sugar level. However, if you are fasting for 8 hours, it is important to make sure you are consuming enough calories to maintain your energy levels. You can spread out your meals throughout the day to ensure you are getting enough calories and not experiencing any fasting effects.",33,41,95,110,2.991364956,0
"Is it bad if a diabetic has an erractic meal scheule, say fasting for 16 hours and then eating everything in the rest of the 8 hours? ","It is generally recommended for people with diabetes to maintain a consistent meal schedule and to eat a balanced diet. However, it is important to consult with a healthcare professional to determine the best meal plan for your individual needs.",27,35,40,43,1.937356234,0
Is it bad to fast for 16 hours and then eat three meals within 8 hours?,"It is generally recommended to eat three meals a day, so fasting for 16 hours and then eating three meals within 8 hours may not be the best approach for overall health. However, it may be beneficial for some individuals who are trying to lose weight or improve their metabolism.",16,19,50,56,2.500178814,0
"If global temperatures increase, will malaria spread to other areas?","There is no direct evidence to suggest that global temperatures are the sole cause of malaria spread. However, higher temperatures can increase the breeding rate of mosquitoes, which can lead to an increase in the spread of malaria. Additionally, climate change can also lead to changes in the geographic range of mosquitoes, which can affect the spread of malaria.",10,12,59,66,2.910214424,0
I am traveling to Asia. Do I need to take malaria prophylaxis?,"Yes, it is recommended to take malaria prophylaxis when traveling to areas where malaria is prevalent. This can help prevent the spread of the disease and reduce the risk of infection.",12,15,31,35,1.597910643,0
Is malaria more common in hotter areas?,"Yes, malaria is more common in areas with higher temperatures and humidity. These conditions create an environment where mosquitoes can breed and spread the disease more easily.",7,8,27,30,1.373606682,0
If I don't have the egg white cervical musus am I still ovualating?,"It is possible to ovulate without cervical mucus, but it is less likely. The presence of cervical mucus is a sign that a woman is in her fertile window and more likely to conceive.",13,19,34,38,1.724717617,0
Is it imperative that one has egg white cervical mucous while ovulating?,"No, it is not necessary for a woman to have egg white cervical mucous while ovulating. However, it can be a sign of fertility and may increase the chances of conception.",12,15,31,37,1.691510201,0
What are the signs of ovulation?,"Some common signs of ovulation include a change in cervical mucus, an increase in basal body temperature, and a feeling of pressure or discomfort in the pelvic area. It's important to note that these symptoms can vary from person to person and may not always be easy to identify.",6,8,49,56,2.499926329,0
If I use 4 tylenol (acetaminophen) 3 and 0.50mg Xanax would it be just as dangerous to use lsd and mdma a few hours later as it would be only mixing lsd and mdma? Ty,"lenol is a pain reliever and Xanax is a benzodiazepine.
Mixing acetaminophen (Tylenol) with benzodiazepines (Xanax) can be dangerous and potentially harmful. Acetaminophen can cause liver damage and overdose, while benzodiazepines can cause respiratory depression and overdose. It is not recommended to mix these substances together.",35,54,46,81,3.530739546,0
"Can one take Tylenol, Xanax, LSD and MDMA within a gap of a few hours? ",It is not recommended to take multiple drugs within a few hours as it can have harmful effects on the body. It is important to prioritize the safety and well-being of oneself and seek medical attention if necessary.,15,23,38,42,1.8921597,0
Is it dangerous mixing various kinds of drugs and alcohols?,"Yes, it can be dangerous to mix various kinds of drugs and alcohols. Mixing drugs and alcohol can increase the risk of overdose, addiction, and other health problems. It is important to avoid mixing drugs and alcohol and to seek medical attention if you or someone you know is experiencing any symptoms or side effects.",10,12,55,62,2.758220911,0
If the mass I have between my ribs is cancerous would it make anything on a CBC abnormal and at about what stage?,"It is possible for a mass in the chest to be cancerous, but it is not always the case. The CBC can be used to detect abnormal cells in the blood, but it is not a definitive test for cancer. Other tests such as imaging tests, biopsies, and blood tests may be needed to determine the nature of the mass.",23,25,60,70,3.087969303,1
"I have a mass in between my ribs, I am worried it could be cancer. If it is, will it show up on a CBC?","It is possible for a mass in the chest to be a sign of cancer, but it is not always the case. A CBC (complete blood count) is a blood test that can help diagnose cancer, but it is not always accurate in detecting it. It is best to consult with a healthcare professional for an accurate diagnosis.",25,29,58,66,2.93578887,1
Is it possible to delevop cancer in between the ribs?,"Yes, it is possible to develop cancer in between the ribs. In fact, some types of cancer, such as lung cancer, can spread to the chest and ribs. It is important to consult with a medical professional if you have any concerns about your health.",10,13,45,52,2.322466373,1
If you felt a mass in the breast for over 4 yrs now should I be worried?,It is important to consult with a healthcare professional if you have concerns about any changes in your breast tissue. They can help determine if further testing or treatment is necessary.,17,19,31,33,1.516731501,0
Are all breast masses cancerous?,"Not all breast masses are cancerous, but it is important to have any unusual lumps or changes in breast tissue evaluated by a healthcare professional.",5,7,25,28,1.293121815,1
"I am 40, and I've had a breast lump in my right breast for about 4 years now. Could it be cancer?","It is possible that a breast lump could be cancerous, but it is also important to note that many breast lumps are not cancerous. It is recommended to schedule an appointment with a healthcare provider to discuss your concerns and undergo any necessary tests or screenings.",22,29,46,51,2.273483515,1
If your baby has already dropped does it automaticly mean your close to having the baby?,"No, it does not necessarily mean that you are close to having the baby. It is important to consult with a healthcare provider for accurate information on the progression of labor and delivery.",16,18,33,36,1.640288591,0
Is labor close once the baby drops?,"It is possible for labor to start once the baby drops, but it is not a guarantee. It is important to consult with a healthcare provider for accurate information and guidance on when to seek medical attention.",7,8,37,40,1.812052965,0
What are the usual signs of labor?,"The usual signs of labor include contractions, back pain, abdominal cramping, and a feeling of pressure in the pelvic area. It is important to seek medical attention if you experience any of these symptoms.",7,8,34,40,1.832651615,0
I got electrocuted i was replacing a wire on my car and i accidentally touched it wth a screwdriver and got shocked i felt it go up my armswillibe ok?,"It is possible that you may experience some residual effects from the electrocution, such as muscle pain or numbness. It is recommended to seek medical attention if you experience any symptoms or if you have any concerns.",30,37,37,42,1.904417038,0
I just got a small electric shock in my arm! I am freaking out a bit. Should I see a doctor?,It is recommended to seek medical attention if you have received an electric shock. Electric shocks can cause serious injuries and it is important to have a medical professional assess the situation.,21,24,32,34,1.560147524,0
What level of electric shock can prove fatal for the human body?,"The level of electric shock that can prove fatal for the human body depends on various factors such as the voltage of the electric shock, the duration of the shock, and the path of the electric shock through the body. However, electric shock of any level can cause serious injuries and can be life-threatening if not treated promptly.",12,13,58,65,2.874958277,0
I had 2 chest x rays done 2 different times with portable mechine I seen the image but did not see the ribs just lungs is that possible.,"It is possible that the x-rays were taken at different times and the ribs were not visible on one of the images. However, it is also possible that the x-rays were not taken correctly or that there was a problem with the equipment. It is important to discuss any concerns with a medical professional.",28,32,54,62,2.746579409,0
Can a rib fracture be diagnosed on a chest X-ray?,"Yes, a rib fracture can often be diagnosed on a chest X-ray. However, it is important to note that not all rib fractures show up on X-rays, and other imaging tests may be needed to confirm the diagnosis.",10,13,38,47,2.121217728,0
My chest X-rays keep showing only my lungs but not my ribs! How is that possible?,"It is possible for the chest X-rays to only show the lungs and not the ribs because the lungs are more dense than the ribs. The X-rays are able to penetrate the lungs more easily than the ribs, which are more dense and therefore less visible on the X-ray.",16,20,49,58,2.585781574,0
I had implanon removed and now have Evelyn for the combined pill. Had a few months normal but now bleed when wipe & shouldn't be. Why? See a doc?,It is possible that the removal of implanon may have caused hormonal changes in your body that are affecting your menstrual cycle. It is recommended to see a doctor to rule out any underlying medical conditions or to discuss options for managing your menstrual cycle.,29,37,45,48,2.151957512,0
Can hormonal contracceptives cause irergular bleeding? And spotting? ,"Yes, hormonal contracceptives can cause irregular bleeding and spotting. This is because they can affect the hormonal balance in the body and disrupt the menstrual cycle. It is important to consult with a healthcare provider to determine the best course of action for managing any concerns related to hormonal contraceptive use.",8,15,51,58,2.575700998,0
I stopped taking my birth control 6 months ago but still my period is irregular and spotting keeps happening on and off. What do you think could be the issue here?,It is possible that your body is still adjusting to the changes that occurred when you stopped taking birth control. It is also possible that there could be underlying medical issues that are causing irregular periods. It is recommended to speak with a healthcare provider to rule out any potential medical issues and to discuss options for managing your menstrual cycle.,31,34,61,64,2.819859743,0
I had medial epicondylar release/ ulnar nerve decompression 5/9/14. When I woke up from it I had a sore throat still have a sore throat? I'mconcerned?,It is possible that the soreness in your throat is related to the procedure. It is important to follow up with your doctor to ensure that everything is healing properly. They may recommend pain medication or other treatments to manage your symptoms.,26,45,42,45,2.012898684,0
How long is the recovery period for medial epicondylar release/ ulnar nerve decompression surgery?,"The recovery period for medial epicondylar release/ ulnar nerve decompression surgery can vary depending on the individual and the extent of the surgery. Generally, patients can expect to take a few weeks to a few months to fully recover. It is important to follow the doctor's instructions for post-operative care and to avoid any strenuous activities or movements that could potentially cause damage to the affected area.",14,21,67,81,3.560043573,0
"I have had this constant sore throat since my surgery a couple of years back, what could be the cause?","It is difficult to determine the cause of your constant sore throat without proper medical examination. However, some possible causes could be allergies, infections, or a complication from your surgery. It is important to consult with your healthcare provider to determine the underlying cause and appropriate treatment.",20,22,47,53,2.370919704,0
"I had my meniscus repaired last week I'm not supposed to bear weight on this leg. I lost my balance and caught my self using this leg briefly,am I ok?","It is important to follow the doctor's instructions for aftercare and not to put weight on the leg until it has fully healed. If you are experiencing any pain or discomfort, it is recommended to consult with your doctor.",30,37,39,45,2.038311243,0
For how long after meniscal surgery should you avoid putting weight on the injured leg?,"It is recommended to avoid putting weight on the injured leg for at least 6 weeks after meniscal surgery. However, it is important to follow the specific instructions provided by your doctor or physical therapist.",15,17,35,40,1.800272226,0
"What options for treatment do I have, if I recently found out, I had a meniscal tear?","Treatment options for a meniscal tear include rest, physical therapy, pain medication, and surgery. It is important to consult with a healthcare professional to determine the best course of action for your specific case.",17,21,34,40,1.80601716,0
"I had unprotected sex 2 weeks ago, I started getting a brown discharge, but I havent started yet. What can it mean? I have irregular periods btw.","It is possible that the brown discharge is related to your menstrual cycle, but it could also be a sign of a more serious issue. It is recommended to see a healthcare provider for an accurate diagnosis and treatment plan.",27,33,40,43,1.939712524,0
Does a brown vaginal discharge mean I am pregnant?,"Brown vaginal discharge can be a sign of pregnancy, but it can also be caused by other factors such as stress, medications, or a yeast infection. It is always best to consult with a healthcare provider to determine the cause of any abnormal vaginal discharge.",9,10,45,50,2.240840197,0
"What are the sympyoms of a pregnancy? I have irregular periods, how do I track my ovulation?","The symptoms of pregnancy include missed periods, nausea, vomiting, fatigue, and breast tenderness. To track ovulation, you can use a basal body temperature thermometer, ovulation predictor kits, or luteal phase ovulation (LPO) methods. It is important to consult with a healthcare provider to determine the best method for tracking ovulation and to ensure a safe and healthy pregnancy.",17,23,58,77,3.411462307,0
I have a black scar in my eye that I can see when I look at something that is a light color. Its been there for 2 months. Will it go away on its own?,"It is possible that the scar will go away on its own, but it is also possible that it may require medical treatment. It is best to consult with an eye doctor to determine the best course of action.",35,39,39,42,1.885356903,0
I have noticed some black scarring in my eye? What could it be? And will it go away on it's own?,"It is difficult to determine the cause of the black scarring in your eye without a proper examination by a medical professional. It could be a sign of an infection, injury, or other underlying medical condition. It is recommended to seek medical attention as soon as possible to determine the best course of treatment.",21,26,54,59,2.631104708,0
"I noticed some redness in my eye today, could it be the start of a pink eye?","Pink eye, also known as conjunctivitis, is an inflammation of the conjunctiva, the thin layer of tissue that covers the white part of the eye and lines the inside of the eyelids. It can be caused by bacterial or viral infections, allergies, or other underlying medical conditions. If you are experiencing symptoms such as redness, itching, discharge, or sensitivity to light, it is recommended to seek medical attention from an eye doctor.",17,19,72,89,3.923371553,0
"I have a bruise circling a insect bite,is this common?","It is not uncommon for a bruise to form around an insect bite. This is because the bite can cause damage to the blood vessels and surrounding tissue, leading to inflammation and bruising. It is important to seek medical attention if the bruise is severe or if you are experiencing other symptoms such as swelling, pain, or difficulty breathing.",10,14,59,67,2.953835726,0
How to differentiate a simple bug bite from a spider bite?,"A simple bug bite is usually a red, itchy bump on the skin, while a spider bite is often a deep, dark red bump with a visible web or mark on the skin. Additionally, a spider bite may cause more severe symptoms such as swelling, pain, and difficulty breathing, while a bug bite may not.",11,12,55,64,2.836529732,0
"I got a bug bite, now I notice a bruise around it, is that normal?","It is not uncommon for a bug bite to cause a bruise around it. However, if the bruise is severe or if you are experiencing other symptoms, it is best to consult a medical professional.",15,19,35,41,1.853154898,0
I have a bug bite and it keeps getting worse. What do you recommend?,"It is recommended to apply a cold compress to the affected area to reduce swelling and pain. You can also try using over-the-counter anti-itch creams or lotions. If the bite is severe or does not improve, it is best to seek medical attention.",14,16,43,53,2.363486052,0
How do I know if it's a simple bug bite or a spider bite?,"The symptoms of a spider bite can include pain, swelling, redness, and a visible mark on the skin. If you are unsure, it is best to seek medical attention to determine the cause of the bite.",14,17,36,42,1.890515566,0
What can help with a bug bite?,"There are several things that can help with a bug bite, including applying a cold compress, using over-the-counter pain relievers, and applying a topical anti-itch cream. It's also important to keep the affected area clean and dry. If the bite is severe or doesn't improve after a few days, it's best to seek medical attention.",7,8,55,75,3.311654568,0
"I have a burning sensation on the top part of my breast after 2 days of having breast augmentation, is this normal?","It is not uncommon for patients to experience some discomfort or pain after breast augmentation surgery. However, if you are experiencing a burning sensation, it is important to contact your surgeon right away to rule out any complications.",22,25,38,42,1.884130478,0
What are the long term side effects of breast augmentation ,"What are the long term side effects of breast augmentation?
The long term side effects of breast augmentation can include changes in nipple sensation, changes in breast shape, and the possibility of scar tissue formation. It is important to discuss any concerns with a qualified healthcare provider before undergoing breast augmentation.",10,11,51,57,2.051174879,0
What symptoms can one expect in the recovery phase after a breast augmentation?,"In the recovery phase after a breast augmentation, one can expect some pain, swelling, and bruising. It is also common to experience some discomfort and tightness in the chest area. It is important to follow the doctor's instructions for post-operative care to ensure proper healing and avoid complications.",13,14,48,58,2.572040319,0
"I have a full thickness tear/rupture of the flexor hallucis tendon after bunion surgery 3 mos ago.  It is retracted 2.5 cm. and I cannot bend big toe downward.  What are long term possible problems without ability of my big toe to push downward, to provid","ence a good range of motion?
Possible long-term problems without the ability of the big toe to push downward include limited range of motion, difficulty walking, and pain. It is important to follow up with a doctor or physical therapist to determine the best course of treatment and management of the condition.",46,63,52,60,2.64289856,0
What are the complications of a bunion surgery?,"Bunion surgery complications can include infection, nerve damage, and recurrence of the bunion. It is important to discuss any concerns with your doctor before undergoing the procedure.",8,10,27,33,1.512190342,0
What are the long term complications of a full thickness tear/rupture of the flexor hallucis tendon?,"The long term complications of a full thickness tear/rupture of the flexor hallucis tendon can include chronic pain, limited range of motion, and decreased muscle strength. In severe cases, surgery may be required to repair the tendon.",16,22,37,47,2.096653223,0
I have a lump on the back of my head. Its above the hairline in the middle. Its hard and unmovable. It does not pain. Should I be cocerned?,It is difficult to determine the cause of the lump without a proper examination by a medical professional. It is recommended to schedule an appointment with a doctor to determine the cause and potential treatment options.,29,39,36,38,1.725433111,0
I have a lump on my head. Could it be cancer?,I'm sorry to hear that. It's difficult to diagnose cancer without proper medical examination. It's best to consult a doctor for a proper diagnosis and treatment plan.,11,13,27,36,1.638390303,1
"What would a hard, fixed, midline bump in the head that's been there for a few weeks mean?","I'm sorry, I cannot provide a medical diagnosis or advice. It's important to seek medical attention from a healthcare professional if you have any concerns about your health.",18,24,28,35,1.605430841,0
"I have a painful sore inside my nose, it is red and rough. My nose is very dry too. What is it and how do I treat it? It won't go away and it hurts.","It sounds like you may have a nasal infection. You can try using a saline nasal spray to help clear the infection. If the symptoms persist, it's best to see a doctor for further evaluation and treatment.",35,42,37,43,1.928149462,0
"I have a red, rough sore inside my nose for 3 days now, and my nose is quite dry too! What could this be? It's quite painful actually, so any help will be appreciated ",":(
It is possible that the sore inside your nose is a cold sore, which are caused by the herpes simplex virus. You can try using over-the-counter topical creams or ointments to reduce pain and speed up healing. If the sore does not improve or worsens, it is recommended to see a healthcare professional for further evaluation and treatment.",34,43,59,72,3.13794446,3
"My nose is exceptionally dry, could it be causing the nose bleeds?","Yes, dry nose can be a common cause of nose bleeds. It is important to stay hydrated and use a humidifier to keep the air moist. If the nose bleeds persist, it is best to consult a doctor.",12,15,38,46,2.051728725,0
I have a possible scaphoid wrist fracture. How can I tell without going to the hospital?,It is not recommended to self-diagnose a scaphoid wrist fracture. It is best to seek medical attention from a healthcare professional. They can perform a physical examination and imaging tests to determine the extent of the injury and provide appropriate treatment.,16,20,41,49,2.194580317,0
Does a scaphoid wrist fracture always need surgery?,"Not always, but it depends on the severity of the fracture and the individual's age and overall health. In some cases, a cast or splint may be sufficient for healing, while in other cases surgery may be necessary to fully repair the wrist.",8,11,43,51,2.272206306,0
What are the symptoms of a scaphoid wrist fracture?,"The symptoms of a scaphoid wrist fracture include pain, swelling, and tenderness in the wrist. You may also experience difficulty moving your wrist or bending your fingers. It's important to seek medical attention if you suspect you have a scaphoid wrist fracture, as it can lead to complications if left untreated.",9,12,51,63,2.811420202,0
I have arthritis in my knees and lower back. Normally when I get out of bed they are stiff. My hips achey and stiff are if I lay on my back at night?,"It is important to consult with a healthcare professional to properly diagnose and treat any medical conditions. However, some general tips for managing arthritis symptoms include stretching and exercising regularly, maintaining a healthy weight, and using heat or cold therapy to reduce pain and stiffness. It may also be helpful to consult with a physical therapist or occupational therapist for specific exercises and techniques to manage arthritis symptoms.",33,37,68,74,3.25204134,0
"How can I manage stiffness in my knees, lower back etc. I do have arthritis","There are several ways to manage stiffness in your knees, lower back, and other joints. Some of the most effective methods include stretching exercises, using heat or cold therapy, and taking over-the-counter pain medications. Additionally, maintaining a healthy weight and staying active can also help reduce stiffness and improve joint mobility. It's important to consult with a healthcare professional to determine the best treatment plan for your specific needs.",15,17,69,84,3.66833353,0
What are the signs and symptoms of arthritis?,"The signs and symptoms of arthritis can vary depending on the type and severity of the condition. However, common symptoms include joint pain, stiffness, and swelling, as well as fatigue and decreased range of motion. Some people may also experience redness and warmth around the affected joint. It's important to consult with a healthcare professional if you are experiencing any of these symptoms.",8,9,63,73,3.257392883,0
I have a warm & irritated uretha and clitoris lately I have to urine a lot. I think I have a UTI or a yeast infection. Can you cure your own UTI?,It is not recommended to self-diagnose and treat a UTI or yeast infection. It is important to consult with a healthcare professional to receive proper treatment.,32,40,26,32,1.521155119,0
How can I differentiate between a STD and a UTI?,"STDs are caused by bacteria or viruses, while UTIs are caused by bacteria. Symptoms of a UTI include frequent urination, pain during urination, and cloudy or foul-smelling urine. Symptoms of a STD can vary depending on the type of infection, but may include fever, pain during sex, and discharge. It is important to get tested for both STDs and UTIs to determine the appropriate treatment.",10,12,65,85,3.804849625,0
What are the ways to manage a UTI at home?,"There are several ways to manage a UTI at home, including drinking plenty of water, avoiding caffeine and alcohol, taking over-the-counter pain relievers, and using a heating pad to relieve discomfort. It's also important to practice good hygiene and empty your bladder frequently. If symptoms persist or worsen, it's best to consult with a healthcare professional.",10,12,56,74,3.365230799,0
I have been eating 1200-1300 cal. (most days) and exercising 5x/wk.  I eat more on weekends but maintain my weight. But this week I gained 2.5 lbs!  I have been stressed and constipated.  Is that why?,"It is possible that stress and constipation could be contributing factors to your weight gain. However, it is important to note that weight gain can also be caused by a variety of other factors such as changes in diet, medication, or hormonal imbalances. It is always best to consult with a healthcare professional if you are concerned about your weight gain.",36,62,61,67,3.119427443,0
"Can stress and constipation cause weight gain, inspite of healthy eating and exercising?","Yes, stress and constipation can cause weight gain. When you are stressed, your body releases cortisol, which can lead to increased appetite and weight gain. Constipation can also lead to weight gain as it can cause you to eat more and consume more fluids. It is important to manage stress and constipation to maintain a healthy weight.",13,16,57,65,2.925013304,0
What are some ways to help acheive desired weight control?,"Some ways to achieve desired weight control include:
1. Eating a balanced diet with a variety of fruits, vegetables, lean proteins, and whole grains.
2. Engaging in regular physical activity, such as exercise or strength training.
3. Getting enough sleep and managing stress levels.
4. Avoiding processed and high-sugar foods.
5. Keeping track of calorie intake and maintaining a calorie deficit.
6. Consulting with a healthcare professional or registered dietitian for personalized advice.",10,12,73,101,4.401313782,0
"I have been experiencing abdominal pain, diarrhea after meals, fatigue and occasionally bloody stool. Could it be Crohn's disease?","As an AI language model, I cannot diagnose medical conditions. It is best to consult a medical professional for a proper diagnosis and treatment plan.",19,26,25,28,1.298766851,0
Is Crohn's disease completely curable or just manageable?,"Crohn's disease is a chronic condition that can be managed with medication and lifestyle changes, but it is not completely curable. However, with proper treatment and management, most people with Crohn's disease are able to lead a normal life.",8,13,39,51,2.27797842,0
What are the symptoms of Crohn's disease? I feel I may be developing it :(,"Crohn's disease can have a variety of symptoms, including abdominal pain, diarrhea, weight loss, and fatigue. It's important to see a doctor if you're experiencing any of these symptoms, as they can be a sign of a more serious condition.",15,20,40,54,2.410674334,0
I have been taking my birthcontrol Amethia for 3 months but wednesday I took it two hours larer then I would usually. Can I still ingage in sex?,"It is not recommended to engage in sexual activity while taking birth control pills. If you miss a pill, it is important to use a backup method of birth control to prevent pregnancy.",28,37,33,36,1.651166916,0
"If on some days, I take my BC pills a few hours late, is that alright?","It is generally recommended to take birth control pills at the same time every day to maintain their effectiveness. However, missing a pill or taking it at a different time may still result in pregnancy if you have unprotected sex. It is important to talk to your healthcare provider about your specific concerns and any changes you may need to make to your birth control method.",16,19,66,70,3.07082057,0
I have l5-s1 slight bulging disc. One doc told me that I should quit squash for good and another doc said I can play again within 3 months. I'm 28?,"As an AI language model, I cannot provide medical advice. It is best to consult with a licensed medical professional to determine the best course of action for your specific condition.",30,42,31,34,1.558722258,0
