Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate,AVG COL-G
How many of their first 21 games did the Magic win?,The Magic won 11 of their first 21 games.,11,13,9,12,0.615749598,
The Memphis Sounds moved to what state?,"The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?
The Memphis Sounds moved to what state?",7,8,392,503,21.98006225,
How many times was Abb Curtis a First-team All-SWC?,Abb Curtis was a First-team All-SWC 3 times.,9,15,8,16,0.785815954,
"What was the name of the Russian national basketball team that participated in the 2000 Summer Olympics in Sydney, Australia?","The name of the Russian national basketball team that participated in the 2000 Summer Olympics in Sydney, Australia was the Russian Olympic team.",20,24,23,27,1.278305769,
What is hard to put into a caption all the emotions it takes to try and accomplish your dreams?,"I'm sorry, I cannot generate a response to this prompt as it is too vague and subjective.",19,20,17,21,1.003647804,
On what date did Freddie slip out of his comatose state and be brought home?,"I'm sorry, I cannot provide an accurate answer as Freddie is a fictional character and there is no record of him slipping out of a comatose state or being brought home.",15,18,31,37,1.713110924,
When was Walker named Eastern Conference Player of the Week?,"I'm sorry, I do not have that information.",10,11,8,12,0.609539747,
What is the name of the facility that Western Michigan athletics-recreation center is affiliated with?,The facility that Western Michigan athletics-recreation center is affiliated with is called the Haworth Fieldhouse.,15,19,15,21,1.006158829,
Who was the Greek center with the 13th pick?,"I'm sorry, I cannot provide an accurate answer as the Greek center with the 13th pick is not specified. Can you please provide more context or information?",9,12,27,34,1.565394402,
What was the Hawks franchise once considered among the least successful in pro sports?,"The Atlanta Hawks were once considered one of the least successful franchises in pro sports. They have only won one NBA championship in their history, which occurred in 1948.",14,15,29,34,1.560797453,
What American SG Golden State Warriors did Anthony Randolph trade to LSU?,Anthony Randolph was traded to the Golden State Warriors in 2009.,12,13,11,14,0.697947025,
How many fans were in attendance in the final game against the Buccaneers?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time attendance data.",13,16,18,24,1.150786877,
When was Douglas-Roberts traded by the Nets to the Milwaukee Bucks?,"Douglas-Roberts was traded by the Nets to the Milwaukee Bucks on February 24, 2004.",11,15,14,22,1.045111179,
What team did the Los Angeles Lakers defeat in Game 5?,The Los Angeles Lakers defeated the Houston Rockets in Game 5 of the 2020 NBA Finals.,11,13,16,20,0.965571642,
On what date did the Mavericks beat the New York Knicks 128-78?,"The Mavericks beat the New York Knicks on November 7, 2018.",12,17,11,17,0.838056087,
Who did the Knicks acquire before the 2011-12 season?,The Knicks acquired Carmelo Anthony from the Denver Nuggets before the 2011-12 season.,9,14,13,20,0.974593401,
How many teams are in the league?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,8,17,22,1.046382904,
In what month and year did Curry announce his involvement with Palm?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",12,13,17,22,1.049423456,
What team would Bird play for in 1979-80?,"I'm sorry, I cannot provide an accurate answer as I do not have enough information about the specific year or team Bird played for.",8,13,24,28,1.315161943,
When is Patrick Ewing a player?,"Patrick Ewing played professional basketball for 13 seasons, from 1975 to 1988. He was a member of the New York Knicks during his entire career.",6,8,25,34,1.568198919,
Who is a member of the United States of America Chicago Bulls?,"I'm sorry, I cannot provide an answer to that question as it is not specific enough. Can you please provide more context or information?",12,13,24,29,1.345597267,
How many games did the Knicks lose in the playoffs?,"I'm sorry, I cannot provide an accurate answer as the Knicks have not yet played in the playoffs.",10,11,18,22,1.042068243,
In what year did Hill play against Kentucky?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,9,17,22,1.044916391,
How many games did he play in 1990-91?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,13,17,22,1.047889471,
What football team did Bryant play for?,Bryant played for the New England Patriots.,7,8,7,9,0.492202282,
What year was the St. Louis 78 - 32.4.413 -.740?,The St. Louis 78 - 32.4.413 -.740 was in the year 1959.,10,21,12,25,1.182208061,
Who traded backup center Bill Cartwright for power forward Charles Oakley before the season started?,The New York Knicks traded backup center Bill Cartwright for power forward Charles Oakley before the season started.,15,18,18,21,1.00274539,
"Who first coined the name ""CB4""?","The name ""CB4"" was first coined by the rapper Ice-T in his song ""The New York Rap Attack, Volume 4"".",6,10,20,31,1.44993782,
How did Bull develop into a leaper?,"Bull developed into a leaper through a process of natural selection. As a result of their ability to jump high and far, they were able to survive and reproduce more successfully than other animals. Over time, this trait became more and more common in the bull population, leading to the development of the modern-day bull breed.",7,9,56,65,2.928423405,
What year was Rice 1948-present Richmond?,Rice was founded in 1948 and has been present in Richmond since then.,6,11,13,16,0.794969082,
How many times was Tinsley the two-time Foothill Conference MVP?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",10,17,16,21,1.008828878,
What was he a finalist for?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",6,7,16,21,1.013381958,
What is the name of the rematch of the previous year's Conference Finals?,The name of the rematch of the previous year's Conference Finals is the NBA Finals.,13,17,15,19,0.915967703,
What was the name of the tie 4th 1995-96?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",9,16,17,22,1.05752492,
Who were the other top picks?,"I'm sorry, I cannot provide an answer as there is no context or information provided.",6,7,15,19,0.936490297,
Who would leave the series?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",5,6,17,22,1.040385246,
How many points did Mutombo average in the 1995-96 season?,Mutombo averaged 13.7 points per game in the 1995-96 season.,10,16,10,19,0.922947645,
What team did the Lakers defeat in the first round?,The Lakers defeated the Portland Trail Blazers in the first round of the 2020 NBA playoffs.,10,11,16,20,0.96636343,
How many points did the Washington Wizards lose in game two?,"I'm sorry, I cannot provide an accurate answer as I am an AI language model and do not have access to real-time sports scores.",11,12,24,30,1.394754171,
What was Leonard's career-high in the playoffs?,"I'm sorry, I cannot provide an answer as there is no context provided.",7,12,13,17,0.83743,
What team won the Eastern Division?,"I'm sorry, I cannot answer that question as it is specific to a particular sport and I am an AI language model that does not have access to real-time information.",6,7,30,36,1.677193642,
Who wrote the foreword for Rick Reilly's 2000 Sports Illustrated book?,"I'm sorry, I cannot provide an answer without additional context.",11,18,10,14,0.694624186,
Who was the Sporting News NBA MVP?,The Sporting News NBA MVP award was first introduced in 1955. The award has been given out to the best player in the NBA since then.,7,8,26,30,1.418089628,
When did Utah lose to Arizona?,Utah has not lost to Arizona since 2010.,6,7,8,12,0.620024681,
What position did Kanye replace in the 2006-07 season?,"Kanye West replaced the position of the 2006-07 season's most popular rapper, Jay-Z.",9,14,13,24,1.13984108,
How many rap albums has he released?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time data on the number of rap albums Eminem has released.",7,8,26,33,1.518944263,
How many College Awards & Honors were awarded to the SoCon Player of the Year in 2008-2009?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time data. However, you can try searching for the specific number of College Awards & Honors awarded to the SoCon Player of the Year in 2008-2009 on the official website of the Southern Conference or on sports news websites.",17,25,54,69,3.105677843,
Which team advanced directly to the championship game?,"I'm sorry, I cannot answer that question as it requires knowledge of the specific sports event being referred to. Can you please provide more context or details?",8,9,27,32,1.495023966,
Who held the college basketball record for most consecutive wins at home?,"The college basketball record for most consecutive wins at home is held by the University of North Carolina Tar Heels, who won 134 games in a row at home from 1937 to 1940.",12,13,33,41,1.870301723,
How many years was the University of Richmond in existence?,"The University of Richmond was founded in 1836, so it has been in existence for over 175 years.",10,11,18,23,1.096809149,
What was the estimated cost of the deal?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,9,17,22,1.050361872,
When was the NCAA Division II membership process completed?,The NCAA Division II membership process was completed in 1987.,9,10,10,13,0.660504103,
Who had an influence on Lillard's rapping?,"As an AI language model, I do not have access to real-time information. However, I can tell you that Lillard's rapping style and lyrical abilities were influenced by various artists such as Kendrick Lamar, J. Cole, and Eminem.",7,12,38,53,2.407423258,
What team traded him to New Orleans in 2010?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",9,12,17,22,1.046674013,
When was Blake a member of the Oklahoma Sooners?,Blake was a member of the Oklahoma Sooners from 2004 to 2007.,9,11,12,18,0.868676186,
How many 8 31-10 16-25 18-8 Houston Rockets 42 40.512 13 28-13 14-27 12-14 Denver Nuggets 24 58.293 21 18-23 6-35 8-18 Dallas Mavericks 22 60.268 33 15-26 7-34 11-15 Minnesota Timberwolves 15 67.183 40 9-32 6-35 9-17 Pacific Division v •d •e W L PCT GB,•d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e W L PCT GB •d •e,47,121,212,390,17.07421255,
How many.333 11 17.393 Long Beach State 4 14?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",9,18,17,22,1.060245275,
Who was the head coach/general manager of the Dream in 2008?,The head coach/general manager of the Dream in 2008 was Mike Thibault.,11,16,12,19,0.919618845,
Who was the Big 8 in 1989-1996?,"The Big 8 in 1989-1996 were:

1. Oklahoma
2. Nebraska
3. Texas
4. Colorado
5. Missouri
6. Kansas
7. Iowa
8. Minnesota",7,14,22,46,2.10863328,
What was done prior to the sale to Loblaws?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",9,11,17,22,1.0432055,
On what network did the first and second rounds of the NBA Draft be shown?,The first and second rounds of the NBA Draft were shown on ESPN.,15,16,13,14,0.701949835,
In what year was Starrcade shown on closed-circuit TV?,Starrcade was first shown on closed-circuit TV in 1983.,9,13,9,16,0.786617041,
What former CBA player started for the Celtics?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,10,17,22,1.050701141,
What size was Webb?,Webb was a size 10.,4,5,5,8,0.442856073,
North Texas won the Sun Belt Conference title a second time during the 2009-10 season to advance to what tournament?,The Sun Belt Conference basketball tournament.,20,25,6,7,0.399104834,
Who was booked?,"I'm sorry, I don't have enough information to answer that question. Can you provide more context or details?",3,4,18,25,1.195870876,
How many times did The Pacers miss the playoffs?,The Indiana Pacers have missed the playoffs 13 times in their history.,9,11,12,15,0.748077393,
When did Walker announce he was debt-free?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time news archives.",7,10,18,24,1.133452654,
How many NCAA Tournaments have the Wildcats appeared in?,The Kentucky Wildcats have appeared in 13 NCAA Tournaments.,9,11,9,12,0.619233847,
Who was the 13th Reserves PG?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",6,10,16,21,1.026454449,
When did Wilt Chamberlain enter the Celtics' league?,Wilt Chamberlain entered the Celtics' league in 1959.,8,12,8,14,0.708660841,
What was Raymundo fouled while shooting a desperation three-pointer that tied the game at 100-all?,"I'm sorry, I cannot provide an answer as there is no context provided.",15,24,13,17,0.861959219,
What team won the NBA championship in 1978?,The Los Angeles Lakers won the NBA championship in 1978.,8,11,10,13,0.663571358,
What is the Dirk nowitzki Foundation aimed at?,The Dirk Nowitzki Foundation is a non-profit organization that aims to provide resources and support to children and families affected by cancer.,8,11,22,27,1.27991724,
"Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?","Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ringling Brothers Barnum and Bailey Circus are examples of what?
Harlem Globetrotters, Sesame Street Live and Ring",16,24,311,487,21.21827698,
When did the series begin?,The series began in 2005.,5,6,5,8,0.441594839,
When did the USA Basketball Olympic gold medalist win?,The USA Basketball Olympic gold medalist won in 2008.,9,11,9,13,0.661554098,
What team was brought into the league from the ABL to even out the divisions?,The team that was brought into the league from the ABL to even out the divisions was the San Antonio Spurs.,15,17,21,23,1.118307829,
How many points did Eric Eberz add to Villanova's offense?,"I'm sorry, I cannot provide an accurate answer as I am an AI language model and do not have access to real-time data.",10,16,23,29,1.372045517,
What was the new name of the Pac-12 conference?,The new name of the Pac-12 conference is the Pac-12 Conference.,9,12,11,16,0.782510281,
Who became the second Liberty player to have his jersey retired?,The second Liberty player to have his jersey retired was former New York Liberty player Tina Charles.,11,12,17,18,0.897557735,
Who is the referee of the Denver Nuggets?,"As of 2021, the referee of the Denver Nuggets is Tom Washington.",8,10,12,17,0.83279109,
In what year was West selected as a reserve?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",9,10,17,22,1.039921999,
Who is the head of the Washington Hall of Stars?,"I'm sorry, I cannot provide an answer as the Washington Hall of Stars is a fictional entity and does not exist in real life.",10,11,24,28,1.321894407,
What is the name of the University of Alabama at Tuscaloosa?,The name of the University of Alabama at Tuscaloosa is University of Alabama.,11,15,13,17,0.830873728,
In what year was the 1987 tournament held?,The 1987 tournament was held in 1987.,8,11,7,12,0.613908768,
On what day did Enis score 17 points and 10 rebounds in a 111-105 loss to the Golden State Warriors?,"Enis scored 17 points and 10 rebounds in a 111-105 loss to the Golden State Warriors on November 7, 1997.",20,27,20,31,1.431127071,
What game ended after Johnson made a last-minute three-pointer?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",9,14,17,22,1.048960209,
What is the reigning 2010 CBI Tournament Champions?,"I'm sorry, I cannot provide an accurate answer as the CBI Tournament is not a well-known event. Can you please provide more context or information?",8,12,25,33,1.515046835,
What team did the Chicago 76ers defeat in the Conference Finals in the semifinals of the 4-0 Series?,The Chicago 76ers defeated the Milwaukee Bucks in the Conference Finals in the semifinals of the 4-0 Series.,18,25,18,25,1.182814121,
What team were the Cavaliers hampered by?,The Cavaliers were hampered by the Toronto Raptors in the 2018 NBA Finals.,7,9,13,18,0.89841485,
Which team was the head coach of the Boston College?,The head coach of the Boston College football team is Jeff Hafley.,10,11,12,15,0.755435228,
How many points did the Lakers lead the Sacramento Kings at the end of the first quarter?,The Lakers led the Sacramento Kings by 13 points at the end of the first quarter.,17,18,16,18,0.86735034,
Who won Game 1 of the Golden State championship?,"I'm sorry, I cannot provide an accurate answer as there is no specific information provided about the Golden State championship. Can you please provide more context or details?",9,11,28,33,1.538319111,
What is DeAndre Jordan's profile?,DeAndre Jordan is a professional basketball player who currently plays for the Los Angeles Clippers. He was drafted by the Clippers in 2009 and has since played for the team. Jordan has also played for the Dallas Mavericks and the Denver Nuggets. He has been a member of the United States men's national basketball team.,5,10,55,67,3.005723953,
When did Atlanta acquire the second-round pick from Seattle?,"Atlanta acquired the second-round pick from Seattle on July 24, 2018.",9,12,11,18,0.870392799,
What year was James Alfred Ennis III born?,James Alfred Ennis III was born in 1952.,8,10,8,12,0.615262985,
Who won NBA Finals 4-2 over the Seattle SuperSonics in 1996-97?,The Los Angeles Lakers won the NBA Finals 4-2 over the Seattle SuperSonics in 1996-97.,11,21,15,25,1.179117441,
How tall is Spud Webb?,Spud Webb is 6 feet 1 inches tall.,5,7,8,12,0.624135971,
In what year did Cooper win the Bronze Medal?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",9,10,17,22,1.043444633,
How did the Hawks finish their first losing season since 2008?,The Atlanta Hawks finished their first losing season since 2008 with a 19-63 record in the 2019-20 NBA season.,11,14,19,29,1.360201836,
How many consecutive games did he score 35+ points?,"I'm sorry, I cannot provide an answer without additional context. Who are you referring to?",9,12,15,20,0.960839272,
How many teams are in the Southeast Division?,"There are currently 4 teams in the Southeast Division of the NBA: Atlanta Hawks, Charlotte Hornets, Miami Heat, and Orlando Magic.",8,9,21,28,1.32588768,
How many points did Gordon score in a 117-103 loss to the Charlotte Hornets?,Gordon scored 13 points in a 117-103 loss to the Charlotte Hornets.,14,19,12,18,0.890273094,
What team did he join in 2010?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,10,17,22,1.052773476,
What color are numbers now rounded and in?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",8,9,17,22,1.05938077,
Who wore the number from 2015 to 2021 with permission from Bruce Bowen?,"I'm sorry, I cannot provide an answer to that question as it is not specific enough. Can you please provide more context or information?",13,18,24,29,1.347610235,
Which team beat the East 79-75?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",6,10,17,22,1.077564716,
Who was the 44th pick in 2010 Draft to the Golden State Warriors?,The 44th pick in the 2010 NBA Draft to the Golden State Warriors was Ekpe Udoh.,13,18,16,23,1.091273069,
When did the Golden State Warriors win?,The Golden State Warriors won their first NBA championship in 2015.,7,8,11,14,0.702989578,
What year did UAB win in 2005?,UAB won in 2005.,7,11,4,8,0.449287415,
Who led Pitt to the 1980 NIT?,"I'm sorry, I cannot provide an accurate answer as the prompt is incomplete. Please provide more context or information.",7,11,19,24,1.135682106,
"Where is a plaque with the words ""Chicago Stadium - 1929-1994 - Remember The Roar"" located?","I'm sorry, I cannot provide an answer as the location of the plaque is not specified.",16,28,16,20,0.962230921,
"What year did Pettit a Forward/Center for the St. Louis Hawks play for the Baylor, Elgin Baylor team for the Minneapolis Lakers?",Pettit played for the St. Louis Hawks in 1959 and the Elgin Baylor team in 1960.,22,29,16,25,1.189905882,
Where do the Celtics play their home games?,"The Celtics play their home games at TD Garden in Boston, Massachusetts.",8,9,12,14,0.698315144,
"What are the names of the Dallas Mavericks Texas Legends English, KimKim English, and KhrisKhris Middleton Melo?","The names of the Dallas Mavericks Texas Legends English, KimKim English, and KhrisKhris Middleton Melo are English, Kim, and Middleton respectively.",17,28,21,34,1.585021257,
RPG Rebounds per game APG Assist per game SPG Steals per game,FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game,12,17,283,494,21.63057685,
Which team had a trip to the WNBA Finals on Game 3?,The team that had a trip to the WNBA Finals on Game 3 was the Phoenix Mercury.,12,15,17,20,0.962256908,
Who selects the teams for the semifinal games?,The teams are selected by the NFL based on their regular season performance and playoff results.,8,9,16,17,0.845077515,
How many points did the dunk take?,"I'm sorry, I cannot answer that question as it requires specific knowledge about the basketball game.",7,8,16,20,0.967541933,
What team did Teague guard in February 2017?,"I'm sorry, I cannot provide an accurate answer without additional context.",8,12,11,15,0.745795488,
What year was the digital clock replaced by a four-sided scoreboard with a digital clock?,The digital clock was replaced by a four-sided scoreboard with a digital clock in the 1950s.,15,19,16,23,1.093222618,
When did Frye make his first regular season return?,"Frye made his first regular season return on November 1, 2010.",9,11,11,18,0.891884327,
How many intercollegiate sports does MSU sponsor?,"As of 2021, MSU sponsors over 20 intercollegiate sports including basketball, football, soccer, volleyball, and more.",7,11,16,28,1.309947968,
What year did the NBL merge with the BAA?,The NBL merged with the BAA in 1949.,9,12,8,13,0.666879177,
On what date was the 2002 NBA Draft held?,"The 2002 NBA Draft was held on June 26, 2002.",9,12,10,17,0.830075979,
Who did Toronto acquire in exchange for Jermaine O'Neal?,"Toronto acquired the rights to draft the #1 overall pick in the 2005 NBA Draft, which they used to select Andrea Bargnani.",9,14,22,30,1.423992157,
What reserve guard scored 34 points for Phoenix?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",8,10,20,25,1.17232585,
Who played for the Oklahoma City Thunder?,"Some of the notable players who have played for the Oklahoma City Thunder include Kevin Durant, Russell Westbrook, and James Harden.",7,8,21,26,1.220541239,
Who made his NBA debut for the Phoenix Suns in a 103-95 loss to the Portland Trail Blazers?,The player who made his NBA debut for the Phoenix Suns in a 103-95 loss to the Portland Trail Blazers is Mikal Bridges.,18,23,23,29,1.36279583,
How many UTEP's were there in 2010?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,14,17,22,1.05417347,
How many draft rights did Jordan Hamilton have?,Jordan Hamilton had two draft rights. He was drafted in the first round of the 2011 NBA Draft by the Denver Nuggets and then was drafted again in the second round of the 2012 NBA Draft by the San Antonio Spurs.,8,9,41,48,2.196725845,
Who was the team's general manager?,"I'm sorry, I cannot answer that question as it depends on the specific team and their structure.",6,9,17,21,1.015306234,
How many consecutive games did Charlotte sell out?,"I'm sorry, I cannot provide an accurate answer as Charlotte is a city and not a sports team. Can you please provide more context or information?",8,9,26,31,1.46177268,
What did he talk about?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",5,6,17,22,1.056397438,
What did Stauskas earn for his Big Ten tournament performance?,"I'm sorry, I cannot provide an accurate answer as I am an AI language model and do not have access to real-time information.",10,13,23,29,1.34997201,
"Large arenas, smaller gymnasiums and armories are examples of what?","Large arenas, smaller gymnasiums, and armories are examples of what?",10,16,10,17,0.848018169,
In what city did the 1999 All Star Game take place?,"The 1999 All Star Game took place in San Francisco, California.",11,14,11,15,0.745432138,
Who are the coaches and staff Owners?,"The coaches and staff owners of the NFL team are the owners of the team. They are responsible for making decisions regarding the team's finances, personnel, and overall direction.",7,8,29,35,1.628040791,
What is FIBA Africa - AfroBasket  AfroCan?,FIBA Africa - AfroBasket is a basketball tournament that is held every year in Africa. It is a tournament that is held in different countries in Africa and is a part of the FIBA Africa Basketball Confederation. The tournament is held in different countries in Africa every year and is a part of the FIBA Africa Basketball Confederation. The tournament is held in different countries in Africa every year and is a part of the FIBA Africa Basketball Confederation.,7,14,79,93,4.144655228,
When did John Weisbrod resign as General Manager and Chief Operating Officer of the Magic?,"John Weisbrod resigned as General Manager and Chief Operating Officer of the Magic on January 1, 2017.",15,19,17,25,1.181008101,
What happened to the deal after the NBA added additional demands to the original terms?,"I'm sorry, I cannot provide a specific answer as there may be multiple deals that have been added to the original terms. Can you please provide more context or information?",15,16,30,35,1.619095802,
What networks will continue to air Wednesday games throughout the season?,"The networks that will continue to air Wednesday games throughout the season include ABC, CBS, FOX, and NBC.",11,12,18,22,1.050552607,
What year was Luol Ajou Deng born?,Luol Ajou Deng was born in 1990.,7,11,7,13,0.66195488,
